p_value,cache_enabled,lookup_latency,trade_latency,order_latency
0.0,True,0.007353925704956054,0.008453989028930664,0.007103586196899414
0.2,True,0.010582923889160156,0.014358705944485135,0.0028478304545084634
0.4,True,0.0028823057810465494,0.006341361999511718,0.0020878156026204425
0.6,True,0.005949381884042319,0.010154690061296736,0.005365876408366414
0.8,True,0.0025607943534851074,0.005606740713119507,0.0030693039298057556
0.0,False,0.003973817825317383,0.007109212875366211,0.0045334815979003905
0.2,False,0.004584789276123047,0.010507861773173014,0.01264504591623942
0.4,False,0.0042352437973022464,0.012276244163513184,0.006361269950866699
0.6,False,0.0031990369160970053,0.009927813212076824,0.004248984654744466
0.8,False,0.003300210407802037,0.00866086142403739,0.0027836595262799944
