p_value,cache_enabled,lookup_latency,trade_latency,order_latency
0.0,True,0.0036278302328927176,0.00937325772785005,0.004927181062244233
0.2,True,0.0030945301055908202,0.009048475537981306,0.007438302040100098
0.4,True,0.0027364167300137606,0.011593211780894886,0.006879308006980203
0.6,True,0.00393088161945343,0.011302858591079712,0.009429223835468292
0.8,True,0.007161207539694649,0.012263653278350831,0.007205197470528739
0.0,False,0.01785898208618164,0.008831644058227539,0.07628779411315918
0.2,False,0.0038498342037200928,0.009434342384338379,0.01182970404624939
0.4,False,0.011378248532613119,0.024940133094787598,0.0074338118235270185
0.6,False,0.007489442825317383,0.016719690958658853,0.00862587292989095
0.8,False,0.006645299292899467,0.021343972231890704,0.007573862333555479
